"X","Y","area"
504191.199226159,7501736.70303492,118302608.758619
558316.771064376,7474440.86486117,217681469.126291
557867.825211725,7525695.46708792,179435787.354181
565299.101325419,7518819.29005526,155731608.25347
541309.30537202,7542409.07570252,135869820.426003
565765.068438033,7551796.69525574,132584727.689673
549180.856762149,7550380.78642382,179061517.768571
577772.857204925,7538049.74171396,140233229.316847
577464.11368406,7523462.82580886,204905716.16103
585286.247361515,7515450.62987171,255415400.300625
